source_header,question,answer
Changes to programme and module specifications,What is the main purpose of this page about curriculum changes at the University of Nottingham?,"The main purpose of this page is to provide information about the regulations for making changes to programme and module specifications at the University of Nottingham. It outlines the procedures and guidelines for staff across the UK, China, and Malaysia campuses, and may also be of interest to students and prospective students."
Changes to programme and module specifications,"If a school wants to change the learning outcomes of a module, what steps must they follow according to the policy?","If a school wants to change the learning outcomes of a module, they must communicate with the students affected by the planned curriculum changes at the first opportunity and give them the chance to comment on the changes. This consultation is necessary to ensure that students are informed and can provide feedback on the changes."
Changes to programme and module specifications,When are changes to programmes or modules required to be approved by the Quality and Standards Committee (QSC)?,"Changes require approval by the QSC if they are contrary to University guidelines or policies, involve significant changes to programme structure, affect another school that has objected, or if the majority of students are opposed. For modules, QSC approval is needed for changes contrary to guidelines or if any current students oppose the changes."
Closing or suspending a programme,What factors might lead the University of Nottingham to decide to close or suspend a programme of study?,"The University of Nottingham may decide to close or suspend a programme for several reasons, including financial non-viability, low enrolment numbers (averaging ten or fewer students over three years, in the UK), strategic changes in the school's or faculty's teaching portfolio, unavailability of replaceable teaching staff, recommendations from Professional, Statutory and Regulatory Bodies (PSRBs), or strategic decisions made at the University level."
Closing or suspending a programme,What is the procedure if a programme closure or suspension affects current students?,"If a programme closure or suspension affects current students, the school must consult with them to ensure the standard of provision is maintained and the programme's learning outcomes remain achievable. Options must be provided for students to transfer to another programme within the University or to another institution. Direct communication with all affected students is essential, and the school must keep records of these consultations for audit purposes."
Closing or suspending a programme,Who is responsible for communicating with prospective students if a programme is closed or suspended?,"If a programme closure or suspension affects prospective students, all communications with applicants must be handled by External Relations and Admissions or their equivalent. Schools are not to contact applicants until the closure or suspension request has been approved, although Admissions may suspend applications at the school's request while a decision is pending."
New Programme by Change,"What is meant by 'new programmes by change' at the University of Nottingham, and why is an approval process necessary for them?",'New programmes by change' refer to significant curriculum changes to existing programmes that effectively create a new programme. This can include substantial alterations to learning outcomes or programme structure. The approval process ensures that academic standards are upheld and that students have access to quality learning opportunities that align with intended outcomes. It's a way to maintain consistency and quality across the university's offerings.
New Programme by Change,How does the University of Nottingham ensure that free speech and academic freedom are considered during the development of a new programme?,"When developing a new programme, the University of Nottingham places importance on promoting free speech by consulting relevant guidance, such as the Freedom of Speech Act. Academic freedom is also protected, meaning that faculty can develop or deliver programmes that involve controversial or unpopular opinions without prohibition. However, approval is not automatically granted for such programmes; they must meet other criteria like business or logistical feasibility."
New Programme by Change,"What steps are involved in getting a new programme by change approved at the University of Nottingham, and what happens if there are unresolved issues?","The approval process for a new programme by change begins with submitting a new programme by change outline form, followed by developing curriculum documentation. RAA reviews this documentation and consults with stakeholders. If there are no unresolved issues, the programme can be approved by a Senior Manager or an Associate Director. If issues remain, the programme is reviewed by a Programme Review Panel, which can approve it, request major revisions, or reject the proposal. The process ensures thorough scrutiny and alignment with university standards."
External advice in programme approval,What is the purpose of seeking external advice in the programme approval process at the University of Nottingham?,"The purpose of seeking external advice is to obtain independent and professionally objective feedback on the development of new study programmes. This advice helps ensure that the programmes are relevant, marketable, and aligned with current academic and professional standards. External advisers also provide insights on the programme's potential market, resource requirements, and how it fits within the broader educational framework."
External advice in programme approval,Who are considered suitable external advisers when developing a new programme of study at the University of Nottingham?,"Suitable external advisers may include academic peers external to the institution, academic peers from other disciplines within the institution, programme partners, Professional, Statutory and Regulatory Bodies (PSRBs), employers, students, and alumni. Importantly, advice must always be sought from an academic peer external to the institution and, where applicable, from employers or professional bodies if the programme prepares students for a specific profession."
External advice in programme approval,How should feedback from external advisers be documented in the new programme approval process?,"Feedback from external advisers must be documented using the 'External Advice for a New Programme of Study' form, which is part of the programme approval process. This form should be completed after the adviser has reviewed the relevant programme specification and business case. All external advice, along with other curriculum documentation, must be submitted as part of the new programme approval process."
Regulations governing registration,What happens if a student at the University of Nottingham fails to complete the formal registration process by the deadline?,"If a student doesn't complete the formal registration process by the final deadline date, they will not be considered a Registered Student for that academic year and will be suspended from study. They might be able to register in exceptional circumstances, but this could also involve paying a late registration fee."
Regulations governing registration,How does the University of Nottingham ensure students receive important communications?,"The University uses the official email address (username@nottingham.ac.uk) to contact students. If a student does not activate or use this account, the University will not be responsible for their not receiving important information. Students are expected to read all communications sent to them at this address and keep their contact information up-to-date."
Regulations governing registration,Can a full-time student at the University of Nottingham work full-time during their studies?,"No, students who are following a full-time programme at the University are not permitted to undertake full-time employment during periods when they are required to be studying. For more information, students are advised to consult the University's guidance on employment during studies."
Module design and approval,"How can staff at the University of Nottingham request the approval of a new module, and what are the necessary conditions for a UK-based module to be approved?","Staff at the University of Nottingham can request the approval of a new module by completing the New Module Specification Template and seeking School level approval. For a UK-based module to be approved, it must meet one of the following conditions: it replaces an existing module, forms part of a new programme, is a standalone CPD module, runs concurrently with an existing module without additional timetabling, or is designed to protect student mobility. The module must also comply with module specification guidelines."
Module design and approval,What considerations around free speech and academic freedom are highlighted in the module approval process at the University of Nottingham?,"The University of Nottingham emphasizes the importance of promoting free speech when developing new modules. Academics are not prohibited from developing or delivering modules due to controversial or unpopular opinions. However, this is not a reason for approval, and logistical or business considerations may still prevent approval. The university provides resources on free speech, such as the Freedom of Speech Act and guidance from the Office for Students."
Module design and approval,"Who is responsible for reviewing new module requests, and what happens if a module does not meet the specified conditions?","The Registry and Academic Affairs (RAA) is responsible for reviewing new module requests at the University of Nottingham. If a module does not meet the specified conditions or fails to conform to the module specification guidelines, it requires approval from the Quality and Standards Committee (QSC). In such cases, the school must make an exceptional case to the QSC, highlighting the significant institutional interests the module serves."
Policy on e-learning and distance learning,What types of learning formats does the University of Nottingham's policy on e-learning and distance learning cover?,"The policy includes various learning formats such as e-learning, distance learning, blended learning, flexible learning, instructor-led training, and the use of web-based materials to supplement classroom-based learning. These approaches generally do not require students to attend specific classes or events at set times and locations."
Policy on e-learning and distance learning,How does the University ensure that students receive timely feedback on their academic performance in distance learning programs?,"The policy mandates that students must have access to timely formative assessment, which provides a basis for individual constructive feedback and guidance. This is meant to help students understand the expectations for summative assessments and improve their academic performance."
Policy on e-learning and distance learning,"Who is responsible for maintaining the Virtual Learning Environment (VLE) systems at the University of Nottingham, and what happens if a school uses a different system?","The Learning Technologies section of University of Nottingham Libraries is responsible for maintaining VLE systems like Moodle. If a school opts to use a delivery system not supported by Information Services, that school is responsible for ensuring the system meets the required standards and reliability expectations outlined in the policy."
Minimum age requirements,"What is the minimum age requirement for applying to the University of Nottingham's programmes in the UK, and can it be waived?","The University of Nottingham generally requires applicants to be at least 18 years of age on admission. However, this requirement may be waived by the Quality and Standards Committee for applicants under 18, provided their parents or guardians give written consent to additional safeguards and requirements. It should be noted that the University will not act in ""loco parentis."""
Minimum age requirements,Are international students under 16 years of age able to apply to the University of Nottingham if they require a student visa?,"No, the University of Nottingham cannot act as an immigration sponsor for international students under 16 years of age. Consequently, they cannot accept international students below this age if a student visa is needed to enter or remain in the UK."
Minimum age requirements,How does the University of Nottingham handle applications from candidates who will be under 18 at the start of their course?,"For applicants under 18 at the start of their course, their UCAS forms are highlighted for admissions decision makers. If a School decides to offer a place, the admissions tutor must process the offer and request parental consent. Once consent is received, the Head of Admissions can waive the age requirement on behalf of the Quality and Standards Committee, and an offer will be sent to the candidate. A list of under-18 candidates with firm offers is then shared with relevant staff, including wardens at the Accommodation Office."
Learning Community Fora - UNNC,What is the main purpose of the Learning Community Forum (LCF) at the University of Nottingham's China campus?,The main purpose of the Learning Community Forum (LCF) is to ensure that students' views are given proper consideration during course and module reviews and to represent students' concerns about their studies to the academic staff throughout the year.
Learning Community Fora - UNNC,"How often do Learning Community Forum meetings need to be held, and who is responsible for deciding the composition of these forums?","Each Learning Community Forum must meet at least three times per academic session, with at least one meeting in the Autumn Semester. The number and composition of these forums are decided by each school, department, or division based on their size, range of courses, and student diversity."
Learning Community Fora - UNNC,"How can students participate in the Learning Community Forum, and what is the role of student representatives in these meetings?","Students can participate in the Learning Community Forum by selecting their own representatives, who are responsible for collecting feedback from fellow students, representing their views at meetings, and sharing feedback from these meetings. Schools and departments facilitate this by providing ways for students to contact their representatives, such as email."
Supplementary regulations for the Integrated Programme leading to the Degree of Doctor of Philosophy (PhD),"When can students start the Integrated PhD Programme at the University of Nottingham, and is it flexible in terms of start dates?","Students normally commence the Integrated PhD Programme in September each year. However, with the supervisor's approval, students can start their programme of study at any time of the year, offering some flexibility in terms of start dates."
Supplementary regulations for the Integrated Programme leading to the Degree of Doctor of Philosophy (PhD),What are the requirements for progressing through the years in the Integrated PhD Programme?,"Progression from year to year in the Integrated PhD Programme involves a student submitting a progress report at the end of each year to the Head of School. Additionally, performance in any assessed taught modules is considered during the annual review for progression."
Supplementary regulations for the Integrated Programme leading to the Degree of Doctor of Philosophy (PhD),Can a student submit their PhD thesis if they haven't completed the taught modules?,"A student can submit their thesis for examination after completing year 3, but they must have the supervisor's approval and have satisfactorily completed the required coursework. If the taught modules are incomplete, the thesis will not be examined until those modules are completed to the satisfaction of both the Head of School and the supervisor."
Supplementary regulations for the International PhD leading to the Degree of Doctor of Philosophy (PhD),What are the admission requirements for the International PhD program at the University of Nottingham?,"To be admitted into the International PhD program, a candidate must be a graduate of an approved university with a bachelor's degree with first or upper second class honors (or equivalent) and a master's degree (or equivalent) in a suitable subject. This applies to all campuses in the UK, China, and Malaysia."
Supplementary regulations for the International PhD leading to the Degree of Doctor of Philosophy (PhD),"How is the course of study structured for the International PhD, and what are the requirements for time spent at each institution?","The course of study for the International PhD requires candidates to pursue a full-time or part-time course at both the University of Nottingham and a partner institution. Full-time study must be completed in a minimum of 2 years and a maximum of 4 years, typically 3 years, while part-time study should take a minimum of 4 years, usually 6 years, up to an 8-year maximum. Candidates need to spend at least twelve months at each institution, and this arrangement is determined at the start of their studies."
Supplementary regulations for the International PhD leading to the Degree of Doctor of Philosophy (PhD),What steps are involved in the submission and examination of the thesis for the International PhD?,"Candidates must submit identical copies of their thesis to both the University of Nottingham and the partner institution, adhering to their local formatting regulations. Examiners are appointed according to the University of Nottingham's Quality Manual, and a viva voce examination is conducted in English, although part of it may be in another language if suitable. Candidates might also need to follow additional examination procedures required by the partner institution."
Regulations for the Degree of European Doctorate (DocEuro),What is one unique requirement for students pursuing the European Doctorate at the University of Nottingham that differs from a standard PhD?,Students pursuing the European Doctorate must spend at least one academic semester (or the equivalent for part-time students) conducting research in another European country during their period of study. This is in addition to the standard requirements set out by the University of Nottingham Qualifications Framework.
Regulations for the Degree of European Doctorate (DocEuro),How is the viva voce examination for the European Doctorate different from a typical PhD viva at Nottingham?,"The viva voce examination for the European Doctorate requires part of the examination to be conducted in a European language other than English. Additionally, the examination panel must include at least one examiner from a higher education institution in a European country other than the UK, and at least two examiners from universities in two separate European countries other than the UK."
Regulations for the Degree of European Doctorate (DocEuro),Who should students at the University of Nottingham contact if they have questions about the European Doctorate regulations?,"Students at the UK campus should contact Student Services, those at the China campus should email Academic-Service-Office@nottingham.edu.cn, and students at the Malaysia campus should reach out to student_registry@nottingham.edu.my. Staff inquiries can be directed to Quality-Manual-Enquiries@nottingham.ac.uk."
Regulations for the Degree of Doctor of Medicine,What are the admission requirements for the Degree of Doctor of Medicine (DM) at the University of Nottingham?,"To be eligible for the DM degree, you must be a graduate in medicine, either having obtained a BMBS from the University of Nottingham or having graduated from another recognized university with qualifications that allow for registration with the General Medical Council. If you're not a Nottingham graduate, you'll need to conduct most of your research at the University or one of its associated hospitals or general practices."
Regulations for the Degree of Doctor of Medicine,"Can a student pursuing a DM at the University of Nottingham transfer to a PhD program, and if so, what are the conditions?","Yes, a student can transfer from a DM to a PhD program. This is possible after studying for at least nine months for the DM and before the notification of thesis submission. The student must have the approval of their Supervisor and the Head of School to apply for this transfer."
Regulations for the Degree of Doctor of Medicine,Is it possible to earn a DM degree through published work instead of a traditional thesis at the University of Nottingham?,"Yes, in exceptional circumstances, it's possible to submit published work for a DM degree. This pathway is for individuals with significant experience and seniority who have a substantial volume of published work in high-quality medical or scientific journals. The submission must include a statement explaining the relationship between the studies and critically placing the work in the context of existing knowledge in the field. Before pursuing this route, it's advised to consult with a member of the Quality and Standards Committee (QSC)."
Regulations for the Doctor of Agrifood,What are the admission requirements for the Doctor of Agrifood program at The University of Nottingham?,"To be eligible for the Doctor of Agrifood program, candidates must either hold a bachelor's degree with first or upper second class honours in agriculture, food, or a related biological sciences area from an approved university or possess equivalent qualifications deemed acceptable by the University. Additionally, candidates are typically expected to have at least one year of relevant post-graduate experience in the Agrifood industry."
Regulations for the Doctor of Agrifood,"How long does it typically take to complete the Doctor of Agrifood program, and what does the course of study involve?","The Doctor of Agrifood program can be completed in a minimum of two years and a maximum of four years for full-time students, and in four to eight years for part-time students. The program includes a combination of a taught component and a portfolio of integrated research projects conducted in industry. The taught component requires successful completion of 120 credits of modules, including at least 40 credits taken at the University of Nottingham."
Regulations for the Doctor of Agrifood,What happens if a candidate does not successfully complete the research thesis but finishes the taught component of the Doctor of Agrifood program?,"If a candidate does not undertake or fails the research thesis but successfully completes part or the entire taught program, they may be eligible for other qualifications depending on the credits earned. These awards could include a Postgraduate Certificate for 60 credits, a Postgraduate Diploma for 120 credits, or an MSc for 180 credits, based on the specifics of the individual program."
Supplementary regulations for the Degree of Doctor of Education (EdD) in School Improvement and Continuing Professional Development or Teacher Education or Literacy or Educational Leadership,What are the admission requirements for the Doctor of Education (EdD) program at the University of Nottingham?,"To be admitted to the EdD program, candidates must be graduates of an approved university, typically holding a Bachelor's degree (normally first or second class Honours or equivalent) and a relevant Master's degree. Alternatively, they may hold qualifications deemed equivalent by the Senate, based on the School's recommendation. Additionally, candidates are usually expected to have at least two years of relevant professional experience."
Supplementary regulations for the Degree of Doctor of Education (EdD) in School Improvement and Continuing Professional Development or Teacher Education or Literacy or Educational Leadership,What happens if a candidate fails the thesis component of the EdD program?,"If a candidate's thesis fails to satisfy the Examiners, they may be allowed, with Senate's permission, to make minor corrections to the thesis, re-present the same thesis and attend another viva voce examination, or re-present a revised thesis with or without attending a second viva voce examination. This will typically require a further directed study period not exceeding one year. If a candidate again fails to satisfy the examiners upon re-submission, they may be awarded a Master of Philosophy."
Supplementary regulations for the Degree of Doctor of Education (EdD) in School Improvement and Continuing Professional Development or Teacher Education or Literacy or Educational Leadership,Can a student be awarded any qualification if they complete the taught component but not the thesis of the EdD program?,"Yes, students who successfully complete the taught component but do not successfully complete the thesis may be awarded a Postgraduate Diploma in School Improvement and Continuing Professional Development, Teacher Education, Literacy, or Educational Leadership, depending on their specific area of study."
Supplementary regulations for the Degree of Doctor of Education (EdD) (Lifelong Learning),What are the admission requirements for the Doctor of Education (EdD) in Lifelong Learning at the University of Nottingham?,"To be eligible for the Doctor of Education (Lifelong Learning), candidates must be graduates of an approved university with a Bachelor's degree (normally first or second class Honours or equivalent) and typically a MA or MEd from an approved university. Alternatively, candidates can hold equivalent qualifications as deemed by the University. Additionally, candidates are expected to have a minimum of two years' professional experience in post-compulsory education and will be required to attend an interview."
Supplementary regulations for the Degree of Doctor of Education (EdD) (Lifelong Learning),How is the thesis component assessed for the EdD in Lifelong Learning program?,"The thesis component requires candidates to submit a thesis of 40,000 - 50,000 words on an approved topic in lifelong or post-compulsory education. The thesis must demonstrate an original application of knowledge and integrate academic analysis with practical relevance. Candidates must also present themselves for a viva voce examination conducted by one internal and one external examiner, both of whom are senior educators in the field."
Supplementary regulations for the Degree of Doctor of Education (EdD) (Lifelong Learning),What options are available if a candidate's thesis does not satisfy the examiners for the EdD in Lifelong Learning?,"If a candidate's thesis fails to satisfy the examiners, they may be allowed to make minor corrections, re-present the same or revised thesis, with or without attending a second viva voce examination. This decision is at the discretion of the University and the Examiners. If the thesis still fails to satisfy the examiners after re-presentation, the candidate may be awarded a Master of Philosophy degree or, in exceptional cases, be granted an additional period of directed study to attempt re-presentation again. If unsuccessful, candidates may receive a Diploma in Lifelong Education."
Supplementary regulations for the Degree of Doctor of Applied Educational Psychology (DAppEdPsy) from September 2020,What are the admission requirements for the Doctor of Applied Educational Psychology program at the University of Nottingham starting from September 2020?,"To be admitted to the Doctor of Applied Educational Psychology program, candidates must have a Bachelor's degree in Psychology or an equivalent subject recognized by the British Psychological Society, typically with a first or upper second class honors. They should have personal and intellectual resources suitable for a research-oriented program, previous supervised practical experience relevant to educational psychology, and complete Disclosure and Barring Service (DBS) checks for working with children and young people."
Supplementary regulations for the Degree of Doctor of Applied Educational Psychology (DAppEdPsy) from September 2020,Can a student who began the Doctor of Applied Educational Psychology program before September 2020 follow the new supplementary regulations?,"No, students who commenced their program before September 2020 will follow the Supplementary regulations for the Degree of Doctor of Applied Educational Psychology (Professional Training) that were in place before that date. The new regulations apply only to those starting on or after September 2020."
Supplementary regulations for the Degree of Doctor of Applied Educational Psychology (DAppEdPsy) from September 2020,What happens if a student doesn't complete all components of the Doctor of Applied Educational Psychology program?,"If a student does not complete all required components but successfully completes part of the program, they may be eligible for exit qualifications such as a Postgraduate Certificate (60 credits), a Postgraduate Diploma (120 credits), or a Master's in Applied Educational Psychology (240 credits), based on the credits they have accrued. However, these exit qualifications do not allow registration with the Health and Care Professions Council as a Practitioner Educational Psychologist."
Supplementary regulations for the Degree of Doctor of Applied Educational Psychology (Professional Training) (DAppEdPsy) before September 2020,What are the admission requirements for the Doctor of Applied Educational Psychology (DAppEdPsy) at the University of Nottingham?,"To be admitted to the DAppEdPsy program, you need to be a graduate with a Bachelor's degree in Psychology or a related subject recognized by the British Psychological Society. Typically, a first or upper second-class honors degree is required, but those with a lower second-class degree may be considered if they show academic ability in psychology at the postgraduate level. Additionally, applicants should have personal and intellectual resources for research, previous supervised practical experience relevant to educational psychology, and must complete Criminal Records Bureau checks."
Supplementary regulations for the Degree of Doctor of Applied Educational Psychology (Professional Training) (DAppEdPsy) before September 2020,Could you explain the structure and duration of the DAppEdPsy course at the University of Nottingham?,"Certainly! The DAppEdPsy course is a full-time program lasting at least three years, with an additional one-year thesis pending period. The program includes a taught component and two major research projects. It follows a modular structure requiring the completion of 540 credits, which include 14 taught modules (140 credits), 3 placement modules (250 credits), a research project (50 credits), and a research dissertation (100 credits)."
Supplementary regulations for the Degree of Doctor of Applied Educational Psychology (Professional Training) (DAppEdPsy) before September 2020,What happens if a student fails the research component of the DAppEdPsy program but completes the taught modules?,"If a student fails the research component but successfully completes part or all of the taught program, they may still qualify for alternative awards. Specifically, they could be considered for a Postgraduate Certificate in Applied Educational Psychology (60 credits) or a Postgraduate Diploma in Applied Educational Psychology (120 credits), depending on the number of credits completed."
Supplementary regulations for the Degree of Doctor of Health Science (DHSci),What are the admission requirements for the Doctor of Health Science (DHSci) at the University of Nottingham?,"To be admitted to the DHSci program, candidates need to be graduates with a bachelor's degree with first or upper second class honors from an approved university, or possess equivalent qualifications. Additionally, they are generally expected to have at least two years of relevant post-registration practical experience."
Supplementary regulations for the Degree of Doctor of Health Science (DHSci),"How long does it take to complete the DHSci program at the University of Nottingham, and what does it involve?","The DHSci program requires a full-time candidate to complete a minimum of 2 years and a maximum of 4 years of supervised study, or a minimum of 4 years and a maximum of 8 years part-time. The course involves a taught component and a thesis, with the taught component comprising 120 credits of modules."
Supplementary regulations for the Degree of Doctor of Health Science (DHSci),What happens if a DHSci candidate does not complete the research portfolio but finishes the taught component?,"If a candidate does not complete the research portfolio but successfully finishes part or all of the taught program, they may qualify for alternative awards such as a Postgraduate Certificate in Health Science (60 credits), a Postgraduate Diploma in Health Science (120 credits), or even a Master of Science in Health Science if they have passed 180 credits of modules and meet the relevant regulations."
Supplementary regulations for the Degree of Doctor of Veterinary Medicine (DVetMed) and Doctor of Veterinary Surgery (DVetSurg),What are the admission requirements for the Doctor of Veterinary Medicine and Doctor of Veterinary Surgery programs at the University of Nottingham?,"To be admitted into the DVetMed or DVetSurg programs, a candidate must either hold a Bachelor's degree (normally first or second class Honours) from an approved university, or qualifications deemed equivalent by the University. Additionally, candidates need to be a Member or Fellow of the Royal College of Veterinary Surgeons with the legal ability to practise in the UK, or hold other qualifications deemed equivalent by the University on the recommendation of the School."
Supplementary regulations for the Degree of Doctor of Veterinary Medicine (DVetMed) and Doctor of Veterinary Surgery (DVetSurg),"What does the course of study for the DVetMed and DVetSurg programs include, and how long does it take to complete?","The course of study for the DVetMed and DVetSurg programs includes a full-time course with a taught component and the submission of a portfolio that includes a thesis, critical review of literature, and a research plan. The thesis must be between 50,000 and 60,000 words, the critical review between 8,000 and 10,000 words, and the research plan between 6,000 and 8,000 words. The program requires at least three years of full-time study or six years of part-time study."
Supplementary regulations for the Degree of Doctor of Veterinary Medicine (DVetMed) and Doctor of Veterinary Surgery (DVetSurg),What happens if a candidate fails the research thesis or portfolio component of the DVetMed/DVetSurg program but completes the taught component?,"If a candidate does not undertake or fails the research thesis or portfolio but successfully completes part or the whole of the taught program, they may be eligible for alternative awards. These include a Postgraduate Certificate in Veterinary Medicine and Surgery (60 credits), a Postgraduate Diploma in Veterinary Medicine (120 credits), or a degree of Master of Philosophy."
Supplementary regulations for the Degree of Doctor of Engineering (EngD),What are the admission requirements for the Doctor of Engineering (EngD) program at the University of Nottingham?,"To be admitted to the EngD program, a candidate must be a graduate of this or another approved university, holding a Bachelor's degree (normally first or second class Honours or equivalent) in an engineering or related subject. The candidate, once accepted, will be designated as a Research Engineer."
Supplementary regulations for the Degree of Doctor of Engineering (EngD),"Can part-time students complete the EngD program, and how long might it take?","Yes, part-time students can complete the EngD program. It requires a minimum of four and a maximum of eight years of supervised study. This allows flexibility for students balancing work or other commitments alongside their studies."
Supplementary regulations for the Degree of Doctor of Engineering (EngD),What happens if a candidate fails the research portfolio but successfully completes the taught component of the EngD program?,"If a candidate fails the research portfolio but completes part or the whole of the taught program, they may be eligible for alternative awards such as a Postgraduate Certificate (60 credits), Postgraduate Diploma (120 credits), or an MSc (180 credits), depending on the specifics of their program."
Supplementary regulations for the Degree of Doctor of Clinical Psychology before 2023,What are the supplementary regulations mentioned in the content for the Doctor of Clinical Psychology degree?,"The supplementary regulations refer to the additional rules and guidelines specific to the Degree of Doctor of Clinical Psychology at The University of Nottingham before 2023. These regulations apply to all campuses in the UK, China, and Malaysia and are categorized based on different time periods such as from September 2019, before September 2019, and before September 2017."
Supplementary regulations for the Degree of Doctor of Clinical Psychology before 2023,Who should I contact if I have questions about the Doctor of Clinical Psychology regulations at the University of Nottingham's Malaysia campus?,"If you have any questions regarding the Doctor of Clinical Psychology regulations at the University of Nottingham's Malaysia campus, you should contact the student registry at student_registry@nottingham.edu.my."
Supplementary regulations for the Degree of Doctor of Clinical Psychology before 2023,When was the information regarding the supplementary regulations for the Doctor of Clinical Psychology degree last updated?,The information about the supplementary regulations for the Doctor of Clinical Psychology degree was last modified on 23 October 2024.
Supplementary regulations for the Degree of Doctor of Clinical Psychology (DClinPsy) from September 2023 (2021 and 2022 intake),What are the admission requirements for the Doctor of Clinical Psychology (DClinPsy) program at The University of Nottingham for the 2021 and 2022 intakes?,"To be admitted to the DClinPsy program, candidates must hold a Bachelor's degree in Psychology or an equivalent subject recognized by the British Psychological Society (BPS) with at least a first or upper second class honors. Candidates with lower second-class honors may be considered if they have a postgraduate degree. They must also meet the NHS person specification for Clinical Psychologists in Training, have relevant practical experience, and be able to travel to the University of Nottingham and the University of Lincoln for teaching and placements. Additionally, candidates must pass an interview, complete health and Disclosure and Barring Scheme checks, and meet specific English language requirements if applicable."
Supplementary regulations for the Degree of Doctor of Clinical Psychology (DClinPsy) from September 2023 (2021 and 2022 intake),Can you explain how the DClinPsy program at The University of Nottingham is structured in terms of credit distribution and study components?,"The DClinPsy program requires a total of 540 credit points, divided into 180 credits for taught provision, 80 credits for placement/taught provision, and 280 credits for research project provision. The program includes a mix of academic modules, placement activities, and research components, with some credits allocated to Master (M) level and others to Doctoral (D) level. The program is designed to include at least 100 credits at Level 7, with the remaining 440 credits at Level 8."
Supplementary regulations for the Degree of Doctor of Clinical Psychology (DClinPsy) from September 2023 (2021 and 2022 intake),"How does the DClinPsy program handle cases where a trainee fails a module or placement, and what reassessment opportunities are available?","Trainees who fail a module have one opportunity to be reassessed, with specific exceptions. For taught modules assessed by Practice Based Learning (PBL), only one PBL module reassessment is allowed. If a trainee fails a second PBL module, they cannot continue. Placement modules allow for one reassessment opportunity. If a trainee fails a second placement module, no further reassessment is permitted, and they cannot continue the program. Extensions for reassessment due to sickness or interruption to studies require documentation and approval from the University of Lincoln."
Supplementary regulations for the Degree of Doctor of Forensic Psychology (DForenPsy),What are the entry requirements for the Doctor of Forensic Psychology program at the University of Nottingham?,"To be admitted to the Doctor of Forensic Psychology program, candidates must hold either a first or second class honours degree from a psychology program accredited by the British Psychological Society, along with some relevant experience, for entry into year 1. Alternatively, those with a Master's degree in Forensic Psychology accredited by the British Psychological Society and at least 100 days of supervised practice experience in a forensic setting can join the program from year 2."
Supplementary regulations for the Degree of Doctor of Forensic Psychology (DForenPsy),What is the structure of the thesis required for the Doctor of Forensic Psychology degree?,"The doctoral thesis for the Doctor of Forensic Psychology degree consists of four components: a systematic review (10,000 words), a large primary research study or two smaller related studies (10,000 words), a case study related to the research topic (10,000 words), and a critique of a psychometric measure used in the research (6,000 words)."
Supplementary regulations for the Degree of Doctor of Forensic Psychology (DForenPsy),What happens if a student does not succeed in the research thesis or practice portfolio of the DForenPsy program?,"If a student does not undertake or fails the research thesis or practice portfolio, but successfully completes part or all of the taught program, they may be considered for other awards such as the Postgraduate Certificate in Criminological Psychology (60 credits) or the MSc (by Research) in Forensic and Criminological Psychology (180 credits), subject to the MSc (by Research) regulations."
Supplementary regulations for the Degree of Doctor of Workplace Health and Wellbeing (DocWHW),What are the admission requirements for the Professional Doctorate in Workplace Health and Wellbeing at the University of Nottingham?,"To be eligible for the Professional Doctorate in Workplace Health and Wellbeing, candidates must have studied towards the MSc Workplace Health and Wellbeing programme at the University of Nottingham, achieving a credit weighted average grade of at least 70% across all 180 credits. Normally, candidates can transfer directly onto year 3 (part-time) of the doctorate before the MSc is awarded. There is no direct entry route available for this programme."
Supplementary regulations for the Degree of Doctor of Workplace Health and Wellbeing (DocWHW),"How long does it take to complete the Professional Doctorate in Workplace Health and Wellbeing, and what does the course of study involve?","Completion of the Professional Doctorate in Workplace Health and Wellbeing requires a minimum of 4 years of part-time supervised study, including the time spent studying towards the MSc. The programme involves a combination of a taught component and a thesis, and candidates must have access to a relevant organisational setting for their research."
Supplementary regulations for the Degree of Doctor of Workplace Health and Wellbeing (DocWHW),What happens if a candidate fails to submit a thesis or their thesis is deemed below doctoral standard?,"If a candidate fails to submit a thesis, or if the submitted thesis does not meet the required doctoral standard, they will receive the MSc in Workplace Health and Wellbeing instead of the Professional Doctorate."
Supplementary regulations for the Degree of Doctor of Public Policy (DPP),What are the admission requirements for the Doctor of Public Policy (DPP) program at the University of Nottingham?,"To be admitted into the DPP program, candidates must be graduates with a Bachelor’s degree, typically with first or second class Honours, and usually hold an appropriate Master’s degree. Alternatively, candidates with equivalent qualifications as recommended by the School and approved by the Senate may also be considered. Additionally, candidates are expected to have at least two years of relevant practical experience. Applicants whose native language is not English must meet specific English language requirements unless they have special permission from the University."
